subject,body,label
Sorry about the new feature,"Hope you're doing well.

Thank you so much for the report. I really appreciate your help.

Talk soon,
Mike",human
Inquiry Response - the new software update,"a Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. The updated some and conditions are attached. If you require further assistance, please do not hesitate to contact us. Sincerely, The Global Solutions Team",AI
Regarding your recent inquiry,"Hope you're doing well.

Just wanted to let you know about my order. It was quite interesting.

Talk soon,
Sarah",human
Inquiry Response - the new software update,"Dear Valued Customer, Thank you for please your Frecent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Sorry about tomorrow,"Hope you're doing well.

I have a question about your help. Could you please assist me?

Sincerely,
Mike",human
Quick question about the workshop,"Hope you're doing well.

I have a question about tomorrow. Could you please assist me?

Thanks,
Mike",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Details about the product can be found on kindly our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Your account balance is [Amount]. If you kindly require further assistance, please do not hesitate to please contact us. Sincerely, The ABC Corp Team",AI
Invitation to the workshop,"Hope you're doing well.

Thank you so much for the party. I really appreciate your help.

Sincerely,
Sarah",human
Sorry about tomorrow,"Hope you're doing well.

Just wanted to let you know about the new feature. It was quite interesting.

Sincerely,
Mike",human
Quick question about the report,"Hope you're doing well.

Thank you so much for tomorrow. I really appreciate your help.

Thanks,
Sarah",human
Quick question about your help,"Hope you're doing well.

Could you please provide an update on tomorrow?

Cheers,
Mike",human
Thank you!,"Hope you're doing well.

I have a question about tomorrow. Could you please assist me?

Sincerely,
Sarah",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Order Confirmation - ORD6064,"Subject: Order Confirmation - ORD6064 Dear Customer, Thank you for your order! Your order with number ORD6064 has been successfully placed. You can track your order status here: https://shipping.example.com/status/403479 Thank you for shopping with us. Sincerely, The ShopNow Team",AI
Sorry about your help,"Hope you're doing well.

Please accept my apologies for the party. It won't happen again.

Best regards,
John",human
Quick question about my birthday,"Hope you're doing well.

Could you please provide an update on my order?

Cheers,
Mike",human
Quick question about the delay,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Best regards,
Mike",human
Thank you!,"Hope you're doing well.

You're invited to the workshop on [Date] at [Time]. Hope you can make it!

Cheers,
David",human
Confirming our meeting,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Best regards,
Mike",human
Quick question about my birthday,"Hope you're doing well.

Here is the latest update on project the new feature. We've made good progress on [Task].

Best regards,
John",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about upcoming maintenance. Please take the necessary some as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Quick question about my birthday,"Hope you're doing well.

Could you please provide an update on the delay?

Best regards,
John",human
Sorry about your help,"Hope you're doing well.

Here is the latest update on project the party. We've made good progress on [Task].

Cheers,
Mike",human
Confirming our meeting,"Hope you're doing well.

Could you please provide an update on the delay?

Best regards,
David",human
Thank you!,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Sincerely,
Mike",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as possible. Thank you for your attention a this matter. Regards, Automated System",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about upcoming maintenance. Please take the necessary action as soon as very Thank you for your attention to this matter. Regards, Automated System",AI
Sorry about the new feature,"Hope you're doing well.

You're invited to my birthday on [Date] at [Time]. Hope you can make it!

Best regards,
John",human
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. The updated terms and conditions are attached. If you require further assistance, the please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Order Confirmation - ORD1052,"Subject: Order Confirmation - ORD1052 Dear Customer, Thank you for your order! Your order with just ORD1052 has been successfully placed. You can track your order status here: http://track.example.com/238048 Thank you for shopping with us. Sincerely, The QuickShop Team",AI
Sorry about the delay,"Hope you're doing well.

Here is the latest update on project the new feature. We've made good progress on [Task].

Sincerely,
Mike",human
Quick question about the company picnic,"Hope you're doing well.

This is to confirm our meeting scheduled for [Date] at [Time]. Looking forward to it.

Thanks,
Mike",human
Checking in,"Hope you're doing well.

Please accept my apologies for the party. It won't happen again.

Thanks,
Sarah",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for the your attention to this matter. Regards, Automated System",AI
Important Notification,"kindly Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Inquiry Response - your account status,"Dear Valued Customer, Thank you for your recent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. Your account balance is [Amount]. If yo7u require further assistance, please do not hesitate to contact us. Sincerely, The Global Solutions Team",AI
Sorry about the new feature,"Hope you're doing well.

Please accept my apologies for the delay. It won't happen again.

Thanks,
Jane",human
Inquiry Response - our premium membership,"Dear Valued Customer, Thank you for your recent inquiry regarding your account status. We appreciate your interest. Please find the requested information below. Your account balance is [Amount]. If you a require further assistance, please do not hesitate to contact us. Sincerely, The XYZ Services Team",AI
Checking in,"Hope you're doing well.

Just wanted to let you know about the party. It was quite interesting.

Best regards,
Jane",human
Important Notification,"Subject: Important Notification Dear User,j This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Inquiry Response - our premium membership,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. The updated terms and conditions are attached. If you require further assistance, please the not hesitate to contact kindly us. Sincerely, The XYZ Services Team",AI
Inquiry Response - your account status,"Dear Valued Customer, Thank you just your recent inquiry regarding the new software update. We appreciate your interest. Please find the requested information below. Details about the product can be found on our website. If you require further assistance, please do not hesitate to contact us. Sincerely, The Global Solutions Team",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a security alert. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Order Confirmation - ORD3285,"Subject: Order Confirmation - ORD3285 Dear Customer, Thank you for your order! Your order with number ORD3285 has a successfully placed. You can track your order status here: http://track.example.com/941830 Thank you for shopping with us. Sincerely, The QuickShop Team",AI
Order Confirmation - ORD7452,"Subject: Order Confirmation - ORD7452 Dear Customer, Thank you for your order! Your order with number ORD7452 has been successfully placed. You can track your order status here: http://track.example.com/378589 Thank you for shopping with us. Sincerely, The QuickShop Team",AI
Order Confirmation - ORD1572,"Subject: Order Confirmation - ORD1572 Dear Customer, Thank you for your order! Your order with number ORD1572 has been successfully placed. You can track your order status here: http://track.example.com/504428 Thank you for shopping with us. Sincerely, The BuyEasy Team",AI
Inquiry Response - the new software update,"Dear Valued Customer, Thank you for your recent inquiry regarding our premium membership. We appreciate your interest. Please find the requested information below. Your account balance kindly is [Amount]. If you require further assistance, please do not hesitate to contact us. Sincerely, The ABC Corp Team",AI
Confirming our meeting,"Hope you're doing well.

Please accept my apologies for my trip. It won't happen again.

Cheers,
Emily",human
Update on project my trip,"Hope you're doing well.

You're invited to the company picnic on [Date] at [Time]. Hope you can make it!

Talk soon,
Emily",human
Important Notification,"Subject: Important Notification Dear User, This is an automated message to inform you about a policy change. Please take the necessary action as soon as possible. Thank you for your attention to this matter. Regards, Automated System",AI
Sorry about your help,"Hope you're doing well.

I have a question about the new feature. Could you please assist me?

Talk soon,
John",human
Checking in,"Hope you're doing well.

I have a question about the party. Could you please assist me?

Talk soon,
Mike",human
Regarding your recent inquiry,"Hope you're doing well.

You're invited to my birthday on [Date] at [Time]. Hope you can make it!

Sincerely,
Sarah",human
Regarding your recent inquiry,"Hope you're doing well.

Please accept my apologies for your help. It won't happen again.

Cheers,
John",human
